Crop_Category,Crop_Name,Ideal_pH_Min,Ideal_pH_Max,N_Req_kg_ha,P_Req_kg_ha,K_Req_kg_ha
Staples,Rice,5.5,6.5,120,40,40
Staples,Wheat,6.0,7.5,120,60,40
Staples,Maize,5.8,7.0,120,60,40
Pulses,Arhar_Dal,6.0,7.5,20,40,20
Pulses,Black_Gram,6.0,7.5,20,40,20
Pulses,Green_Gram,6.0,7.5,20,40,20
Pulses,Masur_Dal,6.0,7.5,20,40,20
Pulses,Cowpea,6.0,7.5,20,40,20
Pulses,Peas_Dry,6.0,7.5,20,40,20
Pulses,Soyabean,6.0,7.0,20,60,40
Oilseeds,Groundnut,6.0,7.0,20,40,40
Oilseeds,Mustard,6.0,7.5,80,40,40
Oilseeds,Sesamum,5.5,7.0,40,30,20
Commercial,Cotton,6.0,8.0,90,45,45
Commercial,Jute,5.0,7.0,80,40,40
Commercial,Sugarcane,6.5,7.5,250,60,120
Commercial,Rubber,4.5,6.0,100,80,80
Commercial,Lint,6.0,8.0,90,45,45
Vegetables,Onion,6.0,7.0,100,50,50
Vegetables,Potato,5.0,6.5,120,80,100
Vegetables,Tomato,6.0,7.0,100,50,50
Vegetables,Cabbage,6.0,7.0,120,60,60
Vegetables,Cauliflower,6.0,7.0,120,60,60
Vegetables,Brinjal,6.0,7.0,100,50,50
Vegetables,Carrot,6.0,7.0,60,30,30
Vegetables,Radish,6.0,7.0,60,30,30
Vegetables,Bhindi,6.0,7.0,40,50,30
Vegetables,Bitter_Gourd,6.0,7.0,50,40,40
Vegetables,Bottle_Gourd,6.0,7.0,50,40,40
Vegetables,Sweet_Potato,5.0,6.0,40,30,60
Vegetables,Tapioca,5.5,7.0,100,50,100
Vegetables,Ginger,6.0,7.0,100,50,80
Vegetables,Turmeric,6.0,7.0,100,50,80
Fruits,Banana,6.0,7.0,200,100,300
Fruits,Orange,6.0,7.5,150,75,150
Fruits,Mango,6.0,7.5,200,100,200
Fruits,Papaya,6.0,7.0,250,250,250
Fruits,Pineapple,4.5,5.5,150,50,150
Fruits,Jackfruit,6.0,7.0,150,75,150
Fruits,Pear,6.0,7.5,150,75,150
Fruits,Mousambi,6.0,7.5,150,75,150
Tjis is in soil_crop.csv